method,date,proportion_of_files_available,species,ten_minute,sixty_minute
didson sonar,9/3/2017,1,pink,13593,3447
didson sonar,9/4/2017,1,pink,4686,4602
didson sonar,9/5/2017,1,pink,1281,1341
didson sonar,9/6/2017,1,pink,1675,1766
didson sonar,8/10/2017,0.83,coho,0,0
didson sonar,8/11/2017,0.92,coho,0,0
didson sonar,8/12/2017,1,coho,0,0
didson sonar,8/13/2017,0.81,coho,0,0
didson sonar,8/14/2017,1,coho,0,0
didson sonar,8/15/2017,1,coho,0,0
didson sonar,8/16/2017,1,coho,0,0
didson sonar,8/17/2017,1,coho,0,0
didson sonar,8/18/2017,0.9,coho,0,0
didson sonar,8/19/2017,1,coho,52,55
didson sonar,8/20/2017,1,coho,130,131
didson sonar,8/21/2017,1,coho,322,299
didson sonar,8/22/2017,1,coho,308,376
didson sonar,8/23/2017,1,coho,368,349
didson sonar,8/24/2017,1,coho,633,530
didson sonar,8/25/2017,1,coho,866,849
didson sonar,8/26/2017,1,coho,1082,1327
didson sonar,8/27/2017,1,coho,1398,1471
didson sonar,8/28/2017,1,coho,991,1173
didson sonar,8/29/2017,1,coho,1696,1528
didson sonar,8/30/2017,1,coho,3611,3576
didson sonar,8/31/2017,0.83,coho,3936,3408
didson sonar,9/1/2017,0.66,coho,3703,3667
didson sonar,9/2/2017,1,coho,4969,5593
didson sonar,9/3/2017,1,coho,14553,3690
didson sonar,9/4/2017,1,coho,5694,5592
didson sonar,9/5/2017,1,coho,7503,7855
didson sonar,9/6/2017,1,coho,6949,7326
didson sonar,8/10/2017,0.83,chum,0,0
didson sonar,8/11/2017,0.92,chum,0,0
didson sonar,8/12/2017,1,chum,0,0
didson sonar,8/13/2017,0.81,chum,0,0
didson sonar,8/14/2017,1,chum,0,0
didson sonar,8/15/2017,1,chum,0,0
didson sonar,8/16/2017,1,chum,0,0
didson sonar,8/17/2017,1,chum,0,0
didson sonar,8/18/2017,0.9,chum,0,0
didson sonar,8/19/2017,1,chum,0,0
didson sonar,8/20/2017,1,chum,0,0
didson sonar,8/21/2017,1,chum,0,0
didson sonar,8/22/2017,1,chum,0,0
didson sonar,8/23/2017,1,chum,0,0
didson sonar,8/24/2017,1,chum,0,0
didson sonar,8/25/2017,1,chum,0,0
didson sonar,8/26/2017,1,chum,0,0
didson sonar,8/27/2017,1,chum,0,0
didson sonar,8/28/2017,1,chum,0,0
didson sonar,8/29/2017,1,chum,0,0
didson sonar,8/30/2017,1,chum,0,0
didson sonar,8/31/2017,0.83,chum,0,0
didson sonar,9/1/2017,0.66,chum,0,0
didson sonar,9/2/2017,1,chum,0,0
didson sonar,9/3/2017,1,chum,0,0
didson sonar,9/4/2017,1,chum,0,0
didson sonar,9/5/2017,1,chum,0,0
didson sonar,9/6/2017,1,chum,0,0
didson sonar,8/10/2017,0.83,dolly varden,0,0
didson sonar,8/11/2017,0.92,dolly varden,0,0
didson sonar,8/12/2017,1,dolly varden,0,0
didson sonar,8/13/2017,0.81,dolly varden,0,0
didson sonar,8/14/2017,1,dolly varden,0,0
didson sonar,8/15/2017,1,dolly varden,0,0
didson sonar,8/16/2017,1,dolly varden,0,0
didson sonar,8/17/2017,1,dolly varden,0,0
didson sonar,8/18/2017,0.9,dolly varden,0,0
didson sonar,8/19/2017,1,dolly varden,0,0
didson sonar,8/20/2017,1,dolly varden,0,0
didson sonar,8/21/2017,1,dolly varden,0,0
didson sonar,8/22/2017,1,dolly varden,0,0
didson sonar,8/23/2017,1,dolly varden,0,0
didson sonar,8/24/2017,1,dolly varden,0,0
didson sonar,8/25/2017,1,dolly varden,0,0
didson sonar,8/26/2017,1,dolly varden,0,0
didson sonar,8/27/2017,1,dolly varden,0,0
didson sonar,8/28/2017,1,dolly varden,0,0
didson sonar,8/29/2017,1,dolly varden,0,0
didson sonar,8/30/2017,1,dolly varden,0,0
didson sonar,8/31/2017,0.83,dolly varden,0,0
didson sonar,9/1/2017,0.66,dolly varden,0,0
didson sonar,9/2/2017,1,dolly varden,0,0
didson sonar,9/3/2017,1,dolly varden,0,0
didson sonar,9/4/2017,1,dolly varden,0,0
didson sonar,9/5/2017,1,dolly varden,0,0
didson sonar,9/6/2017,1,dolly varden,0,0
